id_cliente,posse_de_veiculo,posse_de_imovel,qtd_filhos,idade,tempo_emprego,qt_pessoas_residencia,renda,proporcao_filhos_residencia,sexo_M,tipo_renda_Bolsista,tipo_renda_Empresário,tipo_renda_Pensionista,tipo_renda_Servidor público,educacao_Pós graduação,educacao_Secundário,educacao_Superior completo,educacao_Superior incompleto,estado_civil_Separado,estado_civil_Solteiro,estado_civil_União,estado_civil_Viúvo,tipo_residencia_Casa,tipo_residencia_Com os pais,tipo_residencia_Comunitário,tipo_residencia_Estúdio,tipo_residencia_Governamental,faixa_etaria_Adulto,faixa_etaria_Meia-idade,faixa_etaria_Idoso,tempo_emprego_categoria_Até 5 anos,tempo_emprego_categoria_5 a 10 anos,tempo_emprego_categoria_Mais de 10 anos
15056,False,True,0,-1.52456057146955,0.21066796451956654,-1.408226950807123,1.552775243944643,-0.6273211571219797,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
9968,True,True,0,-1.3526539381881164,0.37173459369726336,-0.19326183239603872,-0.7501022095401491,-0.6273211571219797,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
4312,True,True,0,-0.7509807217030987,-1.3878423552439905,-0.19326183239603872,-0.601080032679747,-0.6273211571219797,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
10639,False,True,1,-1.1807473049066828,-0.2763306642677149,1.0217032860150457,1.0113596550559656,1.0883361278996764,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
7064,True,False,0,-0.9228873549845323,-0.42979981093702974,-1.408226950807123,0.9650661127844015,-0.6273211571219797,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False
10581,False,True,0,-0.40716745514023145,-0.41536459417110405,-0.19326183239603872,-0.9008084623774175,-0.6273211571219797,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
7129,False,True,0,0.9680856111112376,0.1483686079508347,-1.408226950807123,-0.796885395047278,-0.6273211571219797,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False
9952,False,True,0,-0.6650274050623819,-0.7595305518008052,-0.19326183239603872,-0.5038598844910108,-0.6273211571219797,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
8070,True,True,0,1.3978521943148217,1.3077444387299169,-0.19326183239603872,3.3625263179390927,-0.6273211571219797,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2221,False,False,0,-0.40716745514023145,-1.0413971528617747,-0.19326183239603872,0.9377796306570274,-0.6273211571219797,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
